Index,Start Time,End Time
1,"17:12,30-05-2020","17:12,30-05-2020"
2,"17:13,30-05-2020","17:15,30-05-2020"
3,"17:29,30-05-2020","17:32,30-05-2020"
4,"17:33,30-05-2020","17:36,30-05-2020"
5,"17:39,30-05-2020","17:42,30-05-2020"
6,"17:44,30-05-2020","17:45,30-05-2020"
7,"17:57,30-05-2020","17:59,30-05-2020"
8,"18:02,30-05-2020","18:02,30-05-2020"
9,"18:37,30-05-2020","18:40,30-05-2020"
10,"18:42,30-05-2020","18:42,30-05-2020"
11,"18:43,30-05-2020","18:46,30-05-2020"
12,"20:10,30-05-2020","20:10,30-05-2020"
13,"20:23,30-05-2020","20:25,30-05-2020"
14,"20:26,30-05-2020","20:33,30-05-2020"
15,"20:35,30-05-2020","20:38,30-05-2020"
16,"20:39,30-05-2020","20:41,30-05-2020"
17,"20:42,30-05-2020","20:43,30-05-2020"
18,"20:44,30-05-2020","20:44,30-05-2020"
19,"20:45,30-05-2020","20:47,30-05-2020"
20,"20:48,30-05-2020","20:48,30-05-2020"
21,"20:49,30-05-2020","20:50,30-05-2020"
22,"20:51,30-05-2020","20:52,30-05-2020"
23,"20:53,30-05-2020","21:01,30-05-2020"
24,"21:03,30-05-2020","21:03,30-05-2020"
25,"21:08,30-05-2020","21:12,30-05-2020"
26,"21:13,30-05-2020","21:21,30-05-2020"
27,"21:22,30-05-2020","21:24,30-05-2020"
28,"21:25,30-05-2020","21:26,30-05-2020"
29,"21:27,30-05-2020","21:31,30-05-2020"
30,"21:32,30-05-2020","21:32,30-05-2020"
31,"21:33,30-05-2020","21:33,30-05-2020"
32,"21:34,30-05-2020","21:34,30-05-2020"
33,"21:35,30-05-2020","21:36,30-05-2020"
34,"21:45,30-05-2020","21:46,30-05-2020"
35,"21:48,30-05-2020","21:49,30-05-2020"
36,"21:50,30-05-2020","21:52,30-05-2020"
37,"21:54,30-05-2020","21:54,30-05-2020"
38,"22:10,30-05-2020","22:10,30-05-2020"
39,"22:19,30-05-2020","22:21,30-05-2020"
40,"22:26,30-05-2020","22:27,30-05-2020"
41,"23:25,30-05-2020","23:26,30-05-2020"
42,"23:35,30-05-2020","23:36,30-05-2020"
43,"23:37,30-05-2020","23:38,30-05-2020"
44,"23:40,30-05-2020","23:41,30-05-2020"
45,"23:42,30-05-2020","23:43,30-05-2020"
46,"23:44,30-05-2020","23:46,30-05-2020"
47,"23:48,30-05-2020","23:49,30-05-2020"
48,"23:50,30-05-2020","23:52,30-05-2020"
49,"23:53,30-05-2020","23:54,30-05-2020"
50,"23:56,30-05-2020","23:59,30-05-2020"
51,"00:00,31-05-2020","00:02,31-05-2020"
52,"00:08,31-05-2020","00:09,31-05-2020"
53,"00:10,31-05-2020","00:10,31-05-2020"
54,"00:14,31-05-2020","00:14,31-05-2020"
55,"00:15,31-05-2020","00:16,31-05-2020"
56,"00:18,31-05-2020","00:18,31-05-2020"
57,"00:19,31-05-2020","00:20,31-05-2020"
58,"00:21,31-05-2020","00:22,31-05-2020"
59,"00:23,31-05-2020","00:24,31-05-2020"
60,"00:26,31-05-2020","00:27,31-05-2020"
61,"00:29,31-05-2020","00:29,31-05-2020"
62,"00:31,31-05-2020","00:31,31-05-2020"
63,"00:33,31-05-2020","00:34,31-05-2020"
64,"00:39,31-05-2020","00:40,31-05-2020"
65,"00:44,31-05-2020","00:45,31-05-2020"
66,"00:46,31-05-2020","00:47,31-05-2020"
67,"00:48,31-05-2020","00:50,31-05-2020"
68,"00:51,31-05-2020","00:52,31-05-2020"
69,"00:53,31-05-2020","01:00,31-05-2020"
70,"14:36,31-05-2020","14:37,31-05-2020"
